Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Training Stress Score®;Grit;Flow;Total Strokes;Avg. Swolf;Avg Stroke Rate;Total Reps;Decompression;Best Lap Time;Number of Laps;Max Temp;Stress Change;Stress Start;Stress End;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;6/08/2024 17:48;false;Santiago de Surco Running;9.19;583;01:00:08;155;170;182;200;06:33;04:15;15;60;0.84;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:09.9;10;NaN;--;--;--;01:00:03;01:00:08;192;243
Walking;1/08/2024 07:59;false;Fort Lauderdale Walking;1.02;59;00:11:42;109;133;106;122;11:31;10:20;16;4;0.82;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:12.6;2;NaN;--;--;--;00:11:37;00:11:42;-101;43
Running;1/08/2024 07:51;false;Fort Lauderdale Running;1.01;58;07:32.5;122;136;176;183;07:27;06:54;2;--;0.76;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:05.0;2;NaN;--;--;--;00:07:27;07:32.5;-101;-98
Running;31/07/2024 07:33;false;Fort Lauderdale Running;9.02;540;01:01:00;143;160;176;183;06:46;05:49;33;43;0.84;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.7;10;NaN;--;--;--;01:00:57;01:01:00;-82;-59
Running;29/07/2024 07:48;false;Fort Lauderdale Running;6.18;406;00:40:37;152;171;183;189;06:34;05:23;22;32;0.83;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:06.8;7;NaN;--;--;--;00:40:29;00:40:37;-17;5
Running;28/07/2024 07:15;false;Fort Lauderdale Running;5.11;305;00:30:08;150;172;176;183;05:54;04:31;34;122;0.96;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:29.8;6;NaN;--;--;--;00:30:06;00:30:08;-147;-31
Running;27/07/2024 16:13;false;Running;5.71;408;00:35:23;164;192;176;183;06:12;05:35;54;50;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;04:12.4;6;NaN;--;--;--;00:35:14;00:35:23;-63;-45
Meditation;22/07/2024 08:52;false;Yoga;--;6;05:18.5;61;72;--;--;--;--;--;--;NaN;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;05:18.5;1;NaN;-13;13;0;00:00:00;05:18.5;--;--
Running;22/07/2024 07:16;false;Santiago de Surco Running;1.09;67;07:46.3;139;151;175;185;07:09;06:15;3;8;0.8;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:34.7;2;NaN;--;--;--;00:07:45;07:46.3;-54;163
Running;21/07/2024 07:15;false;Running;10.03;628;01:00:21;154;169;177;189;06:01;05:06;20;71;0.94;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:09.4;11;NaN;--;--;--;01:00:11;01:00:21;-100;-42
Running;16/07/2024 18:18;false;Santiago de Surco Running;4.63;295;00:30:09;153;174;177;191;06:31;05:06;2;57;0.87;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;03:33.0;5;NaN;--;--;--;00:30:04;00:30:09;71;129
Running;13/07/2024 07:30;false;Santiago de Surco Running;3.84;297;00:40:12;132;150;132;244;10:29;06:57;4;46;0.72;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;08:59.5;4;NaN;--;--;--;00:40:01;00:40:13;74;117
Running;12/07/2024 17:00;false;Santiago de Surco Running;8.02;498;00:53:15;147;163;183;193;06:38;05:34;19;64;0.82;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:06.6;9;NaN;--;--;--;00:53:10;00:53:15;100;150
Running;11/07/2024 05:32;false;Santiago de Surco Running;6;466;00:41:12;166;190;173;183;06:52;05:36;4;68;0.84;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:02.8;7;NaN;--;--;--;00:41:05;00:41:12;99;169
Running;8/07/2024 13:15;false;Santiago de Surco - Regreso lesion;5.03;294;00:42:10;117;154;132;249;08:23;05:30;22;28;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;04:12.0;6;NaN;--;--;--;00:42:08;00:42:36;146;163
Running;22/06/2024 08:20;false;Santiago de Surco Running;3.01;161;00:16:47;140;159;178;187;05:34;04:59;4;45;1.01;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:02.8;4;NaN;--;--;--;00:16:46;00:16:47;100;146
Running;21/06/2024 05:49;false;Santiago de Surco Running;4.11;241;00:23:45;149;166;182;197;05:47;04:23;2;61;0.95;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:30.7;5;NaN;--;--;--;00:23:38;00:23:45;79;143
Running;20/06/2024 17:47;false;Santiago de Surco Running;3.29;193;00:18:17;152;168;183;198;05:34;04:40;2;41;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:22.5;4;NaN;--;--;--;00:18:17;00:18:17;179;221
Yoga;19/06/2024 08:00;false;Yoga;--;7;04:41.6;66;90;--;--;--;--;--;--;NaN;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;04:41.6;1;NaN;-84;84;0;00:00:00;04:41.6;--;--
