Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Pace_min,time_in_minutes,year,month,day
Running,2024-06-08 17:48:00,9.19,583.0,2024-08-12 01:00:08,155.0,170.0,182.0,200.0,,,15.0,60.0,0.84,10.0,2024-08-12 01:00:03,2024-08-12 01:00:08,192.0,243.0,,,2024,6,8
Running,2024-01-08 07:51:00,1.01,58.0,2024-08-12 07:32:30,122.0,136.0,176.0,183.0,,,2.0,,0.76,2.0,2024-08-12 00:07:27,2024-08-12 07:32:30,-101.0,-98.0,,,2024,1,8
Running,2024-07-31 07:33:00,9.02,540.0,2024-08-12 01:01:00,143.0,160.0,176.0,183.0,,,33.0,43.0,0.84,10.0,2024-08-12 01:00:57,2024-08-12 01:01:00,-82.0,-59.0,,,2024,7,31
Running,2024-07-29 07:48:00,6.18,406.0,2024-08-12 00:40:37,152.0,171.0,183.0,189.0,,,22.0,32.0,0.83,7.0,2024-08-12 00:40:29,2024-08-12 00:40:37,-17.0,5.0,,,2024,7,29
Running,2024-07-28 07:15:00,5.11,305.0,2024-08-12 00:30:08,150.0,172.0,176.0,183.0,,,34.0,122.0,0.96,6.0,2024-08-12 00:30:06,2024-08-12 00:30:08,-147.0,-31.0,,,2024,7,28
Running,2024-07-27 16:13:00,5.71,408.0,2024-08-12 00:35:23,164.0,192.0,176.0,183.0,,,54.0,50.0,0.92,6.0,2024-08-12 00:35:14,2024-08-12 00:35:23,-63.0,-45.0,,,2024,7,27
Running,2024-07-22 07:16:00,1.09,67.0,2024-08-12 07:46:18,139.0,151.0,175.0,185.0,,,3.0,8.0,0.8,2.0,2024-08-12 00:07:45,2024-08-12 07:46:18,-54.0,163.0,,,2024,7,22
Running,2024-07-21 07:15:00,10.03,628.0,2024-08-12 01:00:21,154.0,169.0,177.0,189.0,,,20.0,71.0,0.94,11.0,2024-08-12 01:00:11,2024-08-12 01:00:21,-100.0,-42.0,,,2024,7,21
Running,2024-07-16 18:18:00,4.63,295.0,2024-08-12 00:30:09,153.0,174.0,177.0,191.0,,,2.0,57.0,0.87,5.0,2024-08-12 00:30:04,2024-08-12 00:30:09,71.0,129.0,,,2024,7,16
Running,2024-07-13 07:30:00,3.84,297.0,2024-08-12 00:40:12,132.0,150.0,132.0,244.0,,,4.0,46.0,0.72,4.0,2024-08-12 00:40:01,2024-08-12 00:40:13,74.0,117.0,,,2024,7,13
Running,2024-12-07 17:00:00,8.02,498.0,2024-08-12 00:53:15,147.0,163.0,183.0,193.0,,,19.0,64.0,0.82,9.0,2024-08-12 00:53:10,2024-08-12 00:53:15,100.0,150.0,,,2024,12,7
Running,2024-11-07 05:32:00,6.0,466.0,2024-08-12 00:41:12,166.0,190.0,173.0,183.0,,,4.0,68.0,0.84,7.0,2024-08-12 00:41:05,2024-08-12 00:41:12,99.0,169.0,,,2024,11,7
Running,2024-08-07 13:15:00,5.03,294.0,2024-08-12 00:42:10,117.0,154.0,132.0,249.0,,,22.0,28.0,0.92,6.0,2024-08-12 00:42:08,2024-08-12 00:42:36,146.0,163.0,,,2024,8,7
Running,2024-06-22 08:20:00,3.01,161.0,2024-08-12 00:16:47,140.0,159.0,178.0,187.0,,,4.0,45.0,1.01,4.0,2024-08-12 00:16:46,2024-08-12 00:16:47,100.0,146.0,,,2024,6,22
